date,coal
2023-01-18,323.55
2023-01-19,140.0
2023-01-20,85.75
2023-01-21,85.75
2023-01-22,85.75
2023-01-23,329.75
2023-01-24,372.0
2023-01-25,132.6
2023-01-26,387.0
2023-01-27,148.95
2023-01-28,148.95
2023-01-29,148.95
2023-01-30,201.75
2023-01-31,325.6
2023-02-01,232.85
2023-02-02,267.9
2023-02-03,140.7
2023-02-04,140.7
2023-02-05,140.7
2023-02-06,223.35
2023-02-07,67.8
2023-02-08,166.5
2023-02-09,254.25
2023-02-10,145.9
2023-02-11,145.9
2023-02-12,145.9
2023-02-13,270.4
2023-02-14,137.8
2023-02-15,71.75
2023-02-16,322.85
2023-02-17,140.0
2023-02-18,140.0
2023-02-19,140.0
2023-02-20,85.75
2023-02-21,113.15
2023-02-22,366.5
2023-02-23,132.9
2023-02-24,390.25
2023-02-25,390.25
2023-02-26,390.25
2023-02-27,202.3
2023-02-28,328.15
2023-03-01,233.0
2023-03-02,275.15
2023-03-03,249.0
2023-03-04,249.0
2023-03-05,249.0
2023-03-06,135.6
2023-03-07,227.35
2023-03-08,67.8
2023-03-09,70.6
2023-03-10,268.3
2023-03-11,268.3
2023-03-12,268.3
2023-03-13,137.75
2023-03-14,71.9
2023-03-15,322.85
2023-03-16,115.05
2023-03-17,364.75
2023-03-18,364.75
2023-03-19,364.75
2023-03-20,132.9
2023-03-21,388.0
2023-03-22,375.05
2023-03-23,208.5
2023-03-24,328.15
2023-03-25,328.15
2023-03-26,328.15
2023-03-27,232.65
2023-03-28,127.0
2023-03-29,260.0
2023-03-30,138.35
2023-03-31,227.85
2023-04-01,227.85
2023-04-02,227.85
2023-04-03,139.0
2023-04-04,70.0
2023-04-05,271.65
2023-04-06,137.9
2023-04-07,137.9
2023-04-08,137.9
2023-04-09,137.9
2023-04-10,71.9
2023-04-11,306.0
2023-04-12,120.75
2023-04-13,370.0
2023-04-14,132.9
2023-04-15,132.9
2023-04-16,132.9
2023-04-17,365.75
2023-04-18,218.65
2023-04-19,328.5
2023-04-20,111.1
2023-04-21,279.0
2023-04-22,279.0
2023-04-23,279.0
2023-04-24,138.0
2023-04-25,228.35
2023-04-26,178.25
2023-04-27,136.65
2023-04-28,70.05
2023-04-29,70.05
2023-04-30,70.05
2023-05-01,273.0
2023-05-02,137.8
2023-05-03,333.0
2023-05-04,153.75
2023-05-05,367.0
2023-05-06,367.0
2023-05-07,367.0
2023-05-08,219.25
2023-05-09,69.0
2023-05-10,137.55
